Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0,0748	-0,0572292	0,0748	0,115007
0,075	-0,0563611	0,075	0,112671
0,0752	-0,0551993	0,0752	0,10376
0,0754	-0,0535591	0,0754	0,0911517
0,0756	-0,0512773	0,0756	0,0782418
0,0758	-0,0482245	0,0758	0,0684118
0,076	-0,0443133	0,076	0,0645074
0,0762	-0,0395069	0,0762	0,0684032
0,0764	-0,0338254	0,0764	0,0806998
0,0766	-0,0273471	0,0766	0,100596
0,0768	-0,0202064	0,0768	0,125953
0,077	-0,0125912	0,077	0,153535
0,0772	-0,00473263	0,0772	0,179392
0,0774	0,00310533	0,0774	0,199368
0,0776	0,01064	0,0776	0,209627
0,0778	0,017587	0,0778	0,207195
0,078	0,0236776	0,078	0,190394
0,0782	0,0286779	0,0782	0,159146
0,0784	0,0324036	0,0784	0,115093
0,0786	0,0347332	0,0786	0,0615169
0,0788	0,0356187	0,0788	0,00304626
0,079	0,0350886	0,079	-0,0547963
0,0792	0,0332488	0,0792	-0,10621
0,0794	0,0302774	0,0794	-0,145784
0,0796	0,026413	0,0796	-0,169183
0,0798	0,0219414	0,0798	-0,17371
0,08	0,0171773	0,08	-0,158712
0,0802	0,0124446	0,0802	-0,125727
0,0804	0,00805562	0,0804	-0,0783824
0,0806	0,00429197	0,0806	-0,0220068
0,0808	0,00138634	0,0808	0,0369637
0,081	-0,00049229	0,081	0,091764
0,0812	-0,00124848	0,0812	0,136119
0,0814	-0,000866286	0,0814	0,16504
0,0816	0,000589592	0,0816	0,175441
0,0818	0,00297932	0,0818	0,166518
0,082	0,00609862	0,082	0,139816
0,0822	0,00969339	0,0822	0,0989877
0,0824	0,0134794	0,0824	0,0492538
0,0826	0,0171643	0,0826	-0,00332309
0,0828	0,0204699	0,0828	-0,0526886
0,083	0,0231546	0,083	-0,0936127
0,0832	0,0250326	0,0832	-0,122358
0,0834	0,0259893	0,0834	-0,13712
0,0836	0,0259891	0,0836	-0,13816
0,0838	0,0250782	0,0838	-0,127606
0,084	0,0233792	0,084	-0,109007
0,0842	0,0210788	0,0842	-0,0866699
0,0844	0,0184107	0,0844	-0,0649064
0,0846	0,0156335	0,0846	-0,0473388
0,0848	0,0130064	0,0848	-0,0363348
0,085	0,0107664	0,085	-0,0326811
0,0852	0,00910937	0,0852	-0,0355519
0,0854	0,00817495	0,0854	-0,042753
0,0856	0,00803817	0,0856	-0,0511935
0,0858	0,00870814	0,0858	-0,0575107
0,086	0,0101319	0,086	-0,0587218
0,0862	0,0122039	0,0862	-0,0527906
0,0864	0,0147806	0,0864	-0,0390235
0,0866	0,0176966	0,0866	-0,0182194
0,0868	0,0207805	0,0868	0,00744629
0,087	0,0238701	0,087	0,034781
0,0872	0,0268249	0,0872	0,0601005
0,0874	0,0295336	0,0874	0,0798574
0,0876	0,0319195	0,0876	0,0912244
0,0878	0,0339419	0,0878	0,0925681
0,088	0,0355952	0,088	0,0837239
0,0882	0,0369045	0,0882	0,0660222
0,0884	0,0379218	0,0884	0,0420726
0,0886	0,0387173	0,0886	0,0153533
0,0888	0,0393729	0,0888	-0,010356
0,089	0,0399729	0,089	-0,0315628
